x-axis,1,2
second,Volt,Volt
-25.00000E-03,-990.40514E-03,-1.21702E-03
-24.97500E-03,-1.00626444E+00,-2.47330E-03
-24.95000E-03,-1.02562122E+00,-2.47330E-03
-24.92500E-03,-1.04328956E+00,-1.87029E-03
-24.90000E-03,-1.06041519E+00,-1.21702E-03
-24.87500E-03,-1.07934986E+00,-2.47330E-03
-24.85000E-03,-1.09448554E+00,-2.47330E-03
-24.82500E-03,-1.11275690E+00,-2.62406E-03
-24.80000E-03,-1.12867650E+00,-3.37783E-03
-24.77500E-03,-1.14755087E+00,-2.47330E-03
-24.75000E-03,-1.16135991E+00,-2.47330E-03
-24.72500E-03,-1.17993278E+00,-1.21702E-03
-24.70000E-03,-1.19440514E+00,-1.21702E-03
-24.67500E-03,-1.20749056E+00,-1.21702E-03
-24.65000E-03,-1.23130967E+00,-2.17180E-03
-24.62500E-03,-1.24457600E+00,-1.97079E-03
-24.60000E-03,-1.26073680E+00,-1.21702E-03
-24.57500E-03,-1.27985237E+00,-1.21702E-03
-24.55000E-03,-1.29396293E+00,-1.06627E-03
-24.52500E-03,-1.31271670E+00,-1.26727E-03
-24.50000E-03,-1.32749057E+00,-2.47330E-03
-24.47500E-03,-1.34401318E+00,-1.66928E-03
-24.45000E-03,-1.35655590E+00,-1.21702E-03
-24.42500E-03,-1.37169158E+00,-1.21702E-03
-24.40000E-03,-1.39418403E+00,-1.21702E-03
-24.37500E-03,-1.40196294E+00,-1.21702E-03
-24.35000E-03,-1.41703830E+00,-1.21702E-03
-24.32500E-03,-1.43368152E+00,-1.21702E-03
-24.30000E-03,-1.45171167E+00,-1.21702E-03
-24.27500E-03,-1.46431469E+00,-1.21702E-03
-24.25000E-03,-1.48125941E+00,-965.76E-06
-24.22500E-03,-1.49705841E+00,-1.21702E-03
-24.20000E-03,-1.50881720E+00,-2.32255E-03
-24.17500E-03,-1.52407348E+00,-1.21702E-03
-24.15000E-03,-1.54101821E+00,-513.50E-06
-24.12500E-03,-1.55482725E+00,-965.77E-06
-24.10000E-03,-1.56736997E+00,-1.21702E-03
-24.07500E-03,-1.57870665E+00,-1.21702E-03
-24.05000E-03,-1.59631468E+00,-2.37280E-03
-24.02500E-03,-1.61006344E+00,-1.21702E-03
-24.00000E-03,-1.62507852E+00,-1.21702E-03
-23.97500E-03,-1.63713880E+00,-1.21702E-03
-23.95000E-03,-1.65329960E+00,-2.47330E-03
-23.92500E-03,-1.66614383E+00,-1.06627E-03
-23.90000E-03,-1.67627448E+00,-1.21702E-03
-23.87500E-03,-1.68899811E+00,-1.21702E-03
-23.85000E-03,-1.70485741E+00,-1.21702E-03
-23.82500E-03,-1.71625438E+00,-1.87029E-03
-23.80000E-03,-1.72753077E+00,-1.21702E-03
-23.77500E-03,-1.74115890E+00,-1.21702E-03
-23.75000E-03,-1.75472674E+00,-2.47330E-03
-23.72500E-03,-1.76630464E+00,+39.26E-06
-23.70000E-03,-1.77384232E+00,-1.21702E-03
-23.67500E-03,-1.78801319E+00,-1.21702E-03
-23.65000E-03,-1.79790261E+00,-1.21702E-03
-23.62500E-03,-1.81472673E+00,+39.26E-06
-23.60000E-03,-1.82274686E+00,+89.51E-06
-23.57500E-03,-1.83673682E+00,-1.21702E-03
-23.55000E-03,-1.84542022E+00,-1.21702E-03
-23.52500E-03,-1.85910867E+00,-664.26E-06
-23.50000E-03,-1.86929960E+00,-1.21702E-03
-23.47500E-03,-1.87683729E+00,-1.21702E-03
-23.45000E-03,-1.88612374E+00,-1.21702E-03
-23.42500E-03,-1.89896797E+00,-61.24E-06
-23.40000E-03,-1.90970164E+00,+39.26E-06
-23.37500E-03,-1.91784233E+00,-1.71953E-03
-23.35000E-03,-1.92773179E+00,+39.26E-06
-23.32500E-03,-1.93623431E+00,+39.26E-06
-23.30000E-03,-1.94654585E+00,-1.06626E-03
-23.27500E-03,-1.95788256E+00,-1.16678E-03
-23.25000E-03,-1.96517901E+00,-1.21702E-03
-23.22500E-03,-1.97482724E+00,-1.21702E-03
-23.20000E-03,-1.98381218E+00,-614.00E-06
-23.17500E-03,-1.99285741E+00,+39.26E-06
-23.15000E-03,-1.99816394E+00,-1.01601E-03
-23.12500E-03,-2.00497804E+00,+39.26E-06
-23.10000E-03,-2.02409359E+00,+240.26E-06
-23.07500E-03,-2.02964132E+00,+893.54E-06
-23.05000E-03,-2.03597299E+00,+39.26E-06
-23.02500E-03,-2.04182224E+00,+39.26E-06
-23.00000E-03,-2.04869662E+00,+39.26E-06
-22.97500E-03,-2.05484735E+00,+39.26E-06
-22.95000E-03,-2.05774181E+00,+190.01E-06
-22.92500E-03,-2.06962124E+00,+39.26E-06
-22.90000E-03,-2.07516896E+00,+592.02E-06
-22.87500E-03,-2.08186241E+00,+39.26E-06
-22.85000E-03,-2.09090764E+00,+39.26E-06
-22.82500E-03,-2.09856594E+00,+39.26E-06
-22.80000E-03,-2.09971168E+00,+39.26E-06
-22.77500E-03,-2.10598302E+00,-614.02E-06
-22.75000E-03,-2.11321922E+00,+39.26E-06
-22.72500E-03,-2.12172172E+00,+592.03E-06
-22.70000E-03,-2.12509865E+00,+39.26E-06
-22.67500E-03,-2.13010362E+00,-111.50E-06
-22.65000E-03,-2.13896797E+00,+39.26E-06
-22.62500E-03,-2.13794281E+00,+1.04429E-03
-22.60000E-03,-2.14765137E+00,-413.00E-06
-22.57500E-03,-2.15102830E+00,+39.26E-06
-22.55000E-03,-2.15518907E+00,+441.28E-06
-22.52500E-03,-2.15742027E+00,+1.09453E-03
