x-axis,1,2
second,Volt,Volt
-25.00000E-03,-1.00698805E+00,-3.72959E-03
-24.97500E-03,-1.02887750E+00,-3.72959E-03
-24.95000E-03,-1.04479710E+00,-3.72959E-03
-24.92500E-03,-1.06059610E+00,-2.47330E-03
-24.90000E-03,-1.08097800E+00,-3.72959E-03
-24.87500E-03,-1.09713881E+00,-3.72959E-03
-24.85000E-03,-1.11124936E+00,-3.72959E-03
-24.82500E-03,-1.13271670E+00,-3.72959E-03
-24.80000E-03,-1.14658605E+00,-2.47330E-03
-24.77500E-03,-1.16328956E+00,-3.02607E-03
-24.75000E-03,-1.18246544E+00,-3.72959E-03
-24.72500E-03,-1.19693780E+00,-3.42808E-03
-24.70000E-03,-1.21352072E+00,-3.72959E-03
-24.67500E-03,-1.23149057E+00,-3.62908E-03
-24.65000E-03,-1.24517901E+00,-3.72959E-03
-24.62500E-03,-1.26266645E+00,-3.22707E-03
-24.60000E-03,-1.28099811E+00,-3.72959E-03
-24.57500E-03,-1.29727951E+00,-3.37783E-03
-24.55000E-03,-1.31241520E+00,-2.62406E-03
-24.52500E-03,-1.33086746E+00,-3.67934E-03
-24.50000E-03,-1.34558102E+00,-2.72456E-03
-24.47500E-03,-1.36071670E+00,-3.72959E-03
-24.45000E-03,-1.37555087E+00,-2.47330E-03
-24.42500E-03,-1.39484736E+00,-2.87532E-03
-24.40000E-03,-1.40950061E+00,-2.47330E-03
-24.37500E-03,-1.42306845E+00,-2.47330E-03
-24.35000E-03,-1.43567148E+00,-3.72959E-03
-24.32500E-03,-1.45484736E+00,-3.72959E-03
-24.30000E-03,-1.46769158E+00,-2.47330E-03
-24.27500E-03,-1.48349057E+00,-2.02104E-03
-24.25000E-03,-1.49844535E+00,-2.47330E-03
-24.22500E-03,-1.51352071E+00,-3.67933E-03
-24.20000E-03,-1.52769158E+00,-2.47330E-03
-24.17500E-03,-1.54156093E+00,-2.47330E-03
-24.15000E-03,-1.55910866E+00,-3.72959E-03
-24.12500E-03,-1.57141016E+00,-2.97582E-03
-24.10000E-03,-1.58280716E+00,-3.42808E-03
-24.07500E-03,-1.60246544E+00,-2.47330E-03
-24.05000E-03,-1.61000312E+00,-2.57380E-03
-24.02500E-03,-1.62736996E+00,-2.77481E-03
-24.00000E-03,-1.63955088E+00,-3.72959E-03
-23.97500E-03,-1.65571168E+00,-2.47330E-03
-23.95000E-03,-1.66921921E+00,-3.37782E-03
-23.92500E-03,-1.67989258E+00,-2.47330E-03
-23.90000E-03,-1.69141016E+00,-2.47330E-03
